"id_arbre";"DBH_BMP";"id_branche";"diam_BMP.cm";"diam_BMP.m";"long_BMP.m";"sd_saprox_BMP";"H_BMP.m";"Rq";"massif";"plot";"num_arbre";"sp";"note_DEPERIS";"H_bas_houppier.m";"L_houppier.m";"DBH.cm";"H_arbre.m";"f_elancement";"note_DEPERIS_simpl";"vol.m2";"strate_BMP"
"T_118_4";52;2;5;0.05;2;3;17.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.00392699081698724;"h1"
"T_118_4";52;3;10;0.1;4;2;22.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0314159265358979;"h2"
"T_118_4";52;4;15;0.15;6;3;27.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.106028752058656;"h3"
"T_118_4";52;5;15;0.15;4;2;26.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0706858347057703;"h2"
"T_118_4";52;6;10;0.1;6;4;17.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0471238898038469;"h1"
"T_118_4";52;7;10;0.1;3;2;24.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0235619449019235;"h2"
"T_118_4";52;8;5;0.05;1;3;26.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.00196349540849362;"h2"
"T_118_4";52;9;5;0.05;1;2;26.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.00196349540849362;"h2"
"T_118_4";52;10;15;0.15;4;2;26;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0706858347057703;"h2"
"T_118_4";52;11;15;0.15;9;2;22.5;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.159043128087983;"h2"
"T_118_4";52;12;15;0.15;8;2;25;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.141371669411541;"h2"
"T_118_4";52;13;10;0.1;7;2;NA;"";"Troncais";118;4;"Quercus_petraea";"E";15;18;52;33;63.4615384615385;"deperissant";0.0549778714378214;NA
"T_19_1";102;1;10;0.1;2;2;30;"";"Troncais";19;1;"Quercus_petraea";"C";19.4;24.6;102;44;43.1372549019608;"sain";0.015707963267949;"h2"
