id_arbre;DBH_BMP;id_branche;diam_BMP.cm;diam_BMP.m;long_BMP.m;sd_saprox_BMP;H_BMP.m;Rq
T_315_1;77;7;15;0.15;1;3;29;
T_315_1;77;8;10;0.1;4;4;29;
T_315_1;77;9;10;0.1;1;3;33.5;
T_315_1;77;10;10;0.1;2;4;36;
T_315_1;77;11;5;0.05;1;3;41.5;
T_315_2;76;1;5;0.05;5;4;24.5;
T_315_2;76;2;10;0.1;4;3;29;
T_315_2;76;3;10;0.1;6;3;32;
T_315_2;76;4;5;0.05;2;2;37;
T_315_2;76;5;5;0.05;1;2;34.5;
T_315_2;76;6;5;0.05;3;2;41.5;
T_315_2;76;7;5;0.05;1;3;35;
T_315_3;80;1;5;0.05;1;4;16;
T_315_3;80;2;10;0.1;5;3;20;
T_315_3;80;3;5;0.05;1;3;26;
T_315_3;80;4;10;0.1;4;4;26;
T_315_3;80;5;10;0.1;7;3;27.5;
T_315_3;80;6;5;0.05;1;3;29;
T_315_3;80;7;10;0.1;1;2;35.5;
T_315_3;80;8;5;0.05;1;2;36.5;
T_315_3;80;9;5;0.05;2;2;36.5;
T_315_3;80;10;10;0.1;1;2;42;
T_315_3;80;11;10;0.1;1;2;42;
T_315_3;80;12;10;0.1;1;1;42;
T_315_3;80;13;10;0.1;1;3;42;
T_315_3;80;14;5;0.05;2;2;42;
T_315_3;80;15;5;0.05;2;2;42;
T_315_3;80;16;5;0.05;1;3;42;
T_315_3;80;17;5;0.05;1;2;42;
T_315_3;80;18;10;0.1;3;2;37;
T_315_3;80;19;15;0.15;5;2;32.5;
T_315_3;80;20;10;0.1;1;1;39;
T_315_3;80;21;10;0.1;1;2;39;
T_315_3;80;22;5;0.05;1;2;39;
T_315_4;62;1;5;0.05;1;1;24;
T_315_4;62;2;5;0.05;3;2;26;
T_315_4;62;3;5;0.05;1;2;26;
T_315_4;62;4;10;0.1;1;3;26;
T_315_4;62;5;10;0.1;1;3;26;
T_315_4;62;6;10;0.1;1;3;27;
T_315_4;62;7;10;0.1;1;4;27;
T_315_4;62;8;10;0.1;1;4;27;
T_315_4;62;9;10;0.1;1;3;28.5;
T_315_4;62;10;10;0.1;1;2;30.5;
T_315_4;62;11;10;0.1;1;2;28.5;
T_327_1;88;1;10;0.1;1;3;28;
T_327_1;88;2;10;0.1;3;2;31;
T_327_1;88;3;5;0.05;2;3;25;
T_327_1;88;4;5;0.05;1;3;30;
T_327_1;88;5;10;0.1;1;3;30;
T_327_1;88;6;5;0.05;1;3;32;
T_327_1;88;7;5;0.05;1;3;32;
T_327_1;88;8;10;0.1;2;2;24;
T_327_1;88;9;5;0.05;1;2;23.5;
T_327_1;88;10;5;0.05;1;3;24.5;
T_327_2;86;1;5;0.05;1;2;36.5;
T_327_2;86;2;5;0.05;2;2;28.5;
T_327_2;86;3;5;0.05;2;2;32;
T_327_2;86;4;10;0.1;1;2;33.5;
T_327_2;86;5;10;0.1;1;3;23;
T_327_2;86;6;10;0.1;1;2;24;
T_327_2;86;7;15;0.15;5;3;22.5;
T_327_2;86;8;5;0.05;1;3;29.5;
T_327_2;86;9;5;0.05;1;3;27;
T_327_3;96;1;10;0.1;2;1;18;
T_327_3;96;2;5;0.05;1;2;34;
T_327_3;96;3;5;0.05;1;3;35;
T_327_3;96;4;5;0.05;1;3;36;
T_327_3;96;5;5;0.05;1;3;34;
T_327_3;96;6;15;0.15;1;2;27.5;
T_327_3;96;7;5;0.05;1;1;34.5;
T_327_3;96;8;10;0.1;2;3;32;
T_327_3;96;9;5;0.05;3;3;33;
T_327_3;96;10;10;0.1;6;3;17.5;
T_327_4;105;1;15;0.15;2;3;24;quatrimelle
T_327_4;105;2;10;0.1;1;2;30;quatrimelle
T_327_4;105;3;5;0.05;1;4;36;quatrimelle
T_327_4;105;4;5;0.05;1;1;24;quatrimelle
T_327_4;105;5;5;0.05;2;3;31;quatrimelle
T_327_4;105;6;5;0.05;2;2;20;quatrimelle
T_337_1;103;1;5;0.05;2;4;28;
T_337_1;103;2;5;0.05;1;4;28;
T_337_1;103;3;15;0.15;12;3;25;
T_337_1;103;4;10;0.1;4;3;28;
T_337_1;103;5;10;0.1;4;3;24.5;
T_337_1;103;6;5;0.05;1;1;27.5;
T_337_1;103;7;5;0.05;1;3;25;
T_337_1;103;8;5;0.05;2;2;30.5;
T_337_1;103;9;5;0.05;2;2;28;
T_337_1;103;10;5;0.05;2;3;36;
T_337_1;103;11;5;0.05;1;4;23;
T_337_2;89;1;25;0.25;2;2;17;trimelle
T_337_2;89;2;5;0.05;4;4;28;trimelle
T_337_2;89;3;5;0.05;2;2;38;trimelle
T_337_2;89;4;5;0.05;2;3;38;trimelle
T_337_2;89;5;10;0.1;1;2;38;trimelle
T_337_2;89;6;15;0.15;6;3;20;trimelle
T_337_2;89;7;10;0.1;4;2;21;trimelle
T_337_2;89;8;10;0.1;1;4;24.5;trimelle
T_337_2;89;9;5;0.05;1;2;25.5;trimelle
T_337_2;89;10;5;0.05;1;3;25.5;trimelle
T_337_2;89;11;5;0.05;2;2;32.5;trimelle
T_337_2;89;12;10;0.1;3;3;26.5;trimelle
T_337_3;89;1;20;0.2;2;3;21;
T_337_3;89;2;5;0.05;2;4;21;
T_337_3;89;3;25;0.25;1;1;27.5;
T_337_3;89;4;5;0.05;2;3;28.5;
T_337_3;89;5;5;0.05;2;4;28.5;
T_337_3;89;6;5;0.05;3;3;26;
T_337_3;89;7;5;0.05;4;4;26;
T_337_3;89;8;5;0.05;3;3;29.5;
T_337_3;89;9;5;0.05;1;1;33.5;
T_337_3;89;10;15;0.15;1;2;32;
T_337_3;89;11;5;0.05;1;2;33.5;
T_337_4;80;1;10;0.1;2;3;16;
T_337_4;80;2;10;0.1;7;3;16.5;
T_337_4;80;3;5;0.05;2;4;23.5;
T_337_4;80;4;10;0.1;2;4;24;
T_337_4;80;5;5;0.05;1;2;39;
T_337_4;80;6;10;0.1;1;2;39;
T_337_4;80;7;10;0.1;5;2;39;
T_337_4;80;8;5;0.05;1;4;35;
T_337_4;80;9;10;0.1;4;2;36;
T_337_4;80;10;10;0.1;4;4;23.5;
T_350_1;68;1;10;0.1;5;3;15;
T_350_1;68;2;15;0.15;5;3;20;
T_350_1;68;3;5;0.05;1;3;23.5;
T_350_1;68;4;10;0.1;2;1;31;
T_350_1;68;5;10;0.1;3;1;29;
T_350_1;68;6;10;0.1;5;2;26;
T_350_1;68;7;10;0.1;3;2;26;
T_350_1;68;8;5;0.05;1;2;22;
T_350_1;68;9;5;0.05;3;3;17;
T_350_1;68;10;5;0.05;1;1;27;
T_350_2;73;1;10;0.1;4;3;10;
T_350_2;73;2;5;0.05;1;4;13.5;
T_350_2;73;3;10;0.1;2;4;16;
T_350_2;73;4;10;0.1;4;4;17.5;
T_350_2;73;5;15;0.15;9;3;16;
T_350_2;73;6;5;0.05;5;3;19;
T_350_2;73;7;5;0.05;2;3;22;
T_350_2;73;8;10;0.1;8;3;19.5;
T_350_2;73;9;5;0.05;2;3;21.5;
T_350_2;73;10;5;0.05;1;3;28.5;
T_350_2;73;11;5;0.05;1;2;29;
T_350_2;73;12;5;0.05;1;3;30;
T_350_2;73;13;10;0.1;2;2;30;
T_350_2;73;14;5;0.05;1;3;27;
T_350_2;73;15;10;0.1;5;3;27;
T_350_2;73;16;5;0.05;2;3;27.5;
T_350_2;73;17;5;0.05;3;2;27;perche
T_350_2;73;18;5;0.05;2;3;17;
T_350_2;73;19;5;0.05;1;3;14;
T_350_3;61;1;10;0.1;7;3;1.5;
T_350_3;61;2;10;0.1;3;4;14;
T_350_3;61;3;5;0.05;1;3;18;
T_350_3;61;4;5;0.05;3;3;30;
T_350_3;61;5;15;0.15;7;3;18.5;
T_350_3;61;6;10;0.1;5;3;18.5;
T_350_3;61;7;10;0.1;1;3;25;
T_350_3;61;8;5;0.05;4;3;24;
T_350_3;61;9;5;0.05;2;2;29;
T_350_3;61;10;10;0.1;2;3;18;
T_350_3;61;11;5;0.05;1;2;23.5;
T_350_4;84;1;5;0.05;1;3;15.5;
T_350_4;84;2;10;0.1;7;3;17;
T_350_4;84;3;10;0.1;9;3;17;
T_350_4;84;4;5;0.05;5;3;23;
T_350_4;84;5;10;0.1;3;3;23;
T_350_4;84;6;5;0.05;1;3;21;
T_350_4;84;7;5;0.05;2;2;21;
T_350_4;84;8;5;0.05;1;1;22;
T_350_4;84;9;5;0.05;2;3;26;
T_350_4;84;10;5;0.05;1;1;29;
T_368_1;75;1;5;0.05;2;3;15;
T_368_1;75;2;5;0.05;2;1;20;
T_368_1;75;3;5;0.05;2;3;30;
T_368_1;75;4;5;0.05;2;4;22;
T_368_1;75;5;5;0.05;2;3;27;
T_368_2;63;1;5;0.05;4;3;28.5;
T_368_2;63;2;15;0.15;4;3;25.5;
T_368_2;63;3;15;0.15;10;2;24.5;
T_368_2;63;4;15;0.15;5;2;19;
T_368_2;63;5;5;0.05;1;3;20.5;
T_368_2;63;6;5;0.05;2;4;21;
T_368_2;63;7;10;0.1;5;3;21;
T_368_2;63;8;5;0.05;2;3;23.5;
T_368_2;63;9;5;0.05;1;3;23.5;
T_368_2;63;10;5;0.05;7;1;24;
