"placette";"ouverture_pc"
"T_118";9.1
"T_19";14.82
"T_207";9.1
"T_315";8.84
"T_327";1.04
"T_337";12.74
"T_350";10.7466666666667
"T_368";28.73
"T_413";16.2933333333333
"T_43";7.8
"V_170";14.04
"V_179";45.11
"V_22";17.03
"V_236";9.49
"V_249";21.06
"V_270";7.93
"V_290";21.45
"V_63";0.65
"V_71";22.88
"V_81";4.03
