"placette","etage","CWM_saprox","FDis_saprox"
"T_19","total",4.49264705882353,0.3919622319965
"T_350","total",3.97391304347826,0.697294779558736
"T_43","total",3.72185430463576,0.811705791389054
"V_236","total",3.2125,0.979794549846481
"T_207","total",3.18354430379747,0.988303868151839
"T_327","total",3.38793103448276,0.918799156647964
"T_337","total",4.06077348066298,0.653352190675263
"T_368","total",3.83809523809524,0.760433529370065
"T_413","total",3.87387387387387,0.757617651178366
"V_169","total",3.7,0.832516701219692
"V_22","total",4.67567567567568,0.26259380170145
"V_71","total",3.65068493150685,0.82865836002562
"V_270","total",4.2289156626506,0.556622115688641
"V_81","total",3.13125,1.0141887779689
"T_118","total",4.18918918918919,0.583541781558779
"T_315","total",3.71739130434783,0.823195225867953
"V_179","total",4.24074074074074,0.549409833888767
"V_249","total",3.88571428571429,0.746414143743149
"V_290","total",3.82352941176471,0.781201525981765
"V_63","total",3,1.03851185465941
"T_43","se",2.59677419354839,1.05993093591772
"V_236","se",2.29032258064516,1.04806263086437
"T_207","se",2.08433734939759,1.0170489528893
"T_327","se",1.96363636363636,1.01771628778952
"T_350","se",3.03448275862069,1.01087281445328
"T_368","se",3.35849056603774,0.93449845111963
"T_413","se",2.66666666666667,1.0918029141037
"V_169","se",2.29032258064516,1.07362513405619
"V_71","se",2.91044776119403,1.02665973908603
"T_337","se",3.3010752688172,0.977664308582157
"V_270","se",3.82758620689655,0.750069714749135
"V_81","se",1.72368421052632,0.983363867004573
"T_118","se",2.875,1.05006826030007
"T_19","se",3.82692307692308,0.774812058521659
"T_315","se",1.56666666666667,0.916334588622749
"V_179","se",3.28571428571429,0.945380365856557
"V_22","se",4.54545454545454,0.36253786256395
"V_290","se",2.5,1.09667703425595
"V_63","se",1.6504854368932,0.970045931704951
"V_249","se",2.85714285714286,1.07429587029154
"T_19","canopee",4.90476190476191,0.0805952996087737
"T_350","canopee",4.92982456140351,0.0597671784680697
"T_43","canopee",4.50561797752809,0.385236205975137
"T_337","canopee",4.91954022988506,0.0673446759759864
"T_368","canopee",4.32692307692308,0.504938304821799
"V_22","canopee",4.73076923076923,0.219928683877939
"V_71","canopee",4.27848101265823,0.522551447952521
"T_118","canopee",4.92857142857143,0.0610361964110347
"T_207","canopee",4.4,0.457718398129359
"T_315","canopee",4.75806451612903,0.19958336405047
"T_327","canopee",4.63636363636364,0.286575505966291
"T_413","canopee",4.6969696969697,0.246773352359861
"V_169","canopee",4.59183673469388,0.324948694291223
"V_179","canopee",4.71212121212121,0.234434684741868
"V_236","canopee",4.59322033898305,0.322749386265512
"V_249","canopee",4.14285714285714,0.610361964110347
"V_270","canopee",4.44444444444444,0.428094274344706
"V_290","canopee",4.75,0.205886590067657
"V_63","canopee",4.53260869565217,0.365540364118728
"V_81","canopee",4.40476190476191,0.454577147183632
