"placette";"Vol_BMD_Mtot.m3.ha";"VolTotC.m3.ha";"Vol_BMD_tot_m3.ha"
"T_118";0.319827798054178;0.253970774247783;0.573798572301961
"T_19";6.76288140673728;2.75805543729222;9.5209368440295
"T_207";2.11094382372643;2.94561995514762;5.05656377887405
"T_315";3.51010894041277;0.268285303622741;3.77839424403551
"T_327";4.37149728356481;7.63943155857569;12.0109288421405
"T_337";6.05451659121717;8.04809852873555;14.1026151199527
"T_350";12.8993812618502;2.91760779665541;15.8169890585056
"T_368";54.478711341006;1.37377629262515;55.8524876336312
"T_413";4.22612788176645;2.56073075891599;6.78685864068244
"T_43";6.95205596273105;0;6.95205596273105
"V_170";4.67096490995777;0.423477088359201;5.09444199831697
"V_179";28.4578881205088;0.176839173123137;28.634727293632
"V_22";3.07928783924549;4.58918832421277;7.66847616345826
"V_236";6.97944430676853;3.79231856826337;10.7717628750319
"V_249";0.184717086947514;0.595633773555055;0.780350860502568
"V_270";6.52017143938716;0;6.52017143938716
"V_290";3.70567365391304;0.0807040063801803;3.78637766029322
"V_63";1.93837757596361;0;1.93837757596361
"V_71";7.7167095001218;1.48256085417109;9.19927035429289
"V_81";1.30840171592905;0;1.30840171592905
