"placette";"BMtot.m3.ha";"Vol_BMP_Tot_Pondere.m3.ha";"Vol_BMD_tot.m3.ha";"Volume_BMP_BMD"
"T_118";40.7693125213291;13.5526394703109;0.319827798054178;13.8724672683651
"T_19";34.0623136191675;12.329717231613;6.76288140673728;19.0925986383503
"T_207";43.0185865988078;10.0651290216771;2.11094382372643;12.1760728454035
"T_315";39.5494941065221;11.4754506668745;3.51010894041277;14.9855596072873
"T_327";16.7083751028008;2.82710274526971;4.37149728356481;7.19860002883452
"T_337";67.5686218219121;12.1660832252481;6.05451659121717;18.2205998164653
"T_350";159.008884521621;11.1735055886272;12.8993812618502;24.0728868504774
"T_368";110.198234711617;10.4838365322847;54.478711341006;64.9625478732907
"T_413";58.339899224295;4.04610361828031;4.22612788176645;8.27223150004676
"T_43";63.6317028252713;15.8133161392796;6.95205596273105;22.7653721020107
"V_170";8.60854827687938;0.0822691477460816;4.67096490995777;4.75323405770385
"V_179";50.0321518945857;6.66704879326476;28.4578881205088;35.1249369137736
"V_22";45.1033175480714;21.4623538732231;3.07928783924549;24.5416417124686
"V_236";37.4211496101183;14.2493855828126;6.97944430676853;21.2288298895811
"V_249";9.56496309171641;1.4125966184728;0.184717086947514;1.59731370542031
"V_270";19.7966770155762;5.05183524194795;6.52017143938716;11.5720066813351
"V_290";10.1523544969968;3.87647136363339;3.70567365391304;7.58214501754643
"V_63";19.3170846590799;8.83562691203627;1.93837757596361;10.7740044879999
"V_71";28.1439011041906;2.15203763330237;7.7167095001218;9.86874713342417
"V_81";16.1257407262047;6.8496896239795;1.30840171592905;8.15809133990855
