"id_arbre","H_bas_houp","H_arbre","H_mi_canop"
"T_118",15.8,36,25.9
"T_19",19.4,44,31.7
"T_207",15.6,42,28.8
"T_315",18.9,45,31.95
"T_327",13,39,26
"T_337",18.1,41,29.55
"T_350",20.3,35,27.65
"T_368",11.5,35,23.25
"T_413",9.2,35,22.1
"T_43",16.4,37,26.7
"V_169",15.6,30,22.8
"V_179",18.6,36,27.3
"V_22",7,32,19.5
"V_236",9,26,17.5
"V_249",15.2,27,21.1
"V_270",14,29,21.5
"V_290",16.3,27,21.65
"V_63",19.8,28,32.9
"V_71",12.4,30,21.2
"V_81",13,30,21.5
