"Placette";"Vol_BMP_Tot"
"T_118";0.0510508806208342
"T_19";0.127627201552085
"T_207";0.388772090881737
"T_315";0.190459054623881
"T_327";0.0687223392972768
"T_337";0.29845130209103
"T_350";0.241509935244715
"T_368";0.0196349540849362
"T_413";0.047123889803847
"T_43";0.0451603943953533
"V_170";0.00392699081698724
"V_179";0.139408174003047
"V_22";0.0431968989868597
"V_236";0.475165888855455
"V_249";0.0824668071567321
"V_270";0.147262155637022
"V_290";0.0353429173528851
"V_63";0.0412334035783661
"V_71";0.115846229101124
"V_81";0.0373064127613788
