"placette";"BMtot.m3.ha"
"T_118";40.7693125213291
"T_19";34.0623136191675
"T_207";43.0185865988078
"T_315";39.5494941065221
"T_327";16.7083751028008
"T_337";67.5686218219121
"T_350";159.008884521621
"T_368";110.198234711617
"T_413";58.339899224295
"T_43";63.6317028252713
"V_170";8.60854827687938
"V_179";50.0321518945857
"V_22";45.1033175480714
"V_236";37.4211496101183
"V_249";9.56496309171641
"V_270";19.7966770155762
"V_290";10.1523544969968
"V_63";19.3170846590799
"V_71";28.1439011041906
"V_81";16.1257407262047
