"placette";"Vol_BMP_Canop.m3";"Vol_BMP_Under.m3";"Vol_BMP_Tot.m3.ha";"Contribution_G_ArbreDMH";"Vol_BMP_Tot_Pondere.m3.ha"
"T_118";0.993528676697773;0.0215984494934299;3.59027777807087;0.264913545876868;13.5526394703109
"T_19";0.895353906273092;0.015707963267949;3.22222222248527;0.26133788488057;12.329717231613
"T_207";0.624391539900971;0;2.20833333351361;0.219404374127501;10.0651290216771
"T_315";0.681332906747286;0.00196349540849362;2.41666666686395;0.210594488793368;11.4754506668745
"T_327";0.361283155162826;0;1.27777777788209;0.451974297722308;2.82710274526971
"T_337";0.79717913584841;0.168860605130451;3.41666666694558;0.280835385036247;12.1660832252481
"T_350";0.263108384738145;0.838412539426776;3.89583333365136;0.348667059120343;11.1735055886272
"T_368";0.708821842466197;0.015707963267949;2.56250000020919;0.284603516677279;9.00375381908892
"T_413";0.555669200603695;0;1.96527777793821;0.485721069786518;4.04610361828031
"T_43";0.950331777710913;0;3.36111111138549;0.212549416060597;15.8133161392796
"V_170";0;0.00392699081698724;0.0138888888900227;0.168822569219871;0.0822691477460816
"V_179";0.29256081586555;0.461421420996;2.66666666688436;0.399977073750878;6.66704879326476
"V_22";1.72002197784041;0.00785398163397448;6.11111111160999;0.284736294430144;21.4623538732231
"V_236";1.32535940073319;0;4.68750000038266;0.32896155228171;14.2493855828126
"V_249";0.107992247467149;0.0431968989868596;0.534722222265873;0.378538512179065;1.4125966184728
"V_270";0.147262155637022;0.153152641862503;1.06250000008674;0.210319606479693;5.05183524194795
"V_290";0.111919238284136;0.1845685683984;1.04861111119671;0.270506605835947;3.87647136363339
"V_63";0.0903207887907065;0.15707963267949;0.875000000071429;0.099030890369473;8.83562691203627
"V_71";0.0706858347057704;0.100138265833175;0.604166666715987;0.285422621478154;2.11674415849421
"V_81";0.276852852597601;0.0098174770424681;1.01388888897166;0.148019683318529;6.8496896239795
