"placette";"BMtot.m3.ha";"Vol_BMP_Tot_Pondere.m3.ha";"Vol_BMD_tot.m3.ha";"Volume_BMP_BMD"
"T_118";90.7103738302125;62.034221935682;1.27930820053321;63.3135301362152
"T_19";96.5686429591017;54.3599661962425;27.0514623666545;81.411428562897
"T_207";90.4131645917614;51.1268952893142;8.44375554904294;59.5706508383571
"T_315";87.2700478829066;48.224878496892;14.0404029279354;62.2652814248274
"T_327";40.17123870407;13.1755153870252;17.4859482430785;30.6614636301037
"T_337";128.813748879391;55.2477171432937;24.2180097306502;79.4657268739439
"T_350";234.572504224778;48.0391021676218;51.5974043860126;99.6365065536344
"T_368";305.085270668916;41.9352480628636;217.914335767726;259.84958383059
"T_413";89.1345933382248;19.2324627538442;16.9044719956769;36.1369347495211
"T_43";134.468744835415;65.7942552910722;27.8081588210823;93.6024141121545
"V_170";22.8742870343442;0.335156867751872;18.6838159474168;19.0189728151687
"V_179";156.371500105327;27.6329988388363;113.831286285679;141.464285124515
"V_22";119.31573160818;86.4369332193914;12.317122553186;98.7540557725774
"V_236";116.945743371677;72.8357117100994;27.9177119410405;100.75342365114
"V_249";14.9185787744153;6.21206276818101;0.738866619938177;6.95092938811919
"V_270";54.5125888145144;20.2072937126994;26.0806247675739;46.2879184802733
"V_290";33.4882386028676;16.0953691708019;14.8226599526153;30.9180291234172
"V_63";52.1366183595062;35.6558799237948;7.75349217218405;43.4093720959789
"V_71";59.9188425462969;10.6969230069232;30.866765818042;41.5636888249652
"V_81";41.3435968638571;28.1423528526929;5.23359462486814;33.375947477561
