"placette";"Gtot.m2.ha";"Gtot_M.m2.ha";"Proportion_arbresmorts"
"T_118";5.11506261875856;0;0
"T_19";9.23801027751347;0.159043128087983;1.72161670435803
"T_207";8.69231563358492;0.057255526111674;0.658691291540922
"T_315";8.66608333492744;0.0660519855417254;0.762189595794816
"T_327";7.53597391761486;0.101787601976309;1.35068941438859
"T_337";10.8152468692482;0.121658175510265;1.12487654679603
"T_350";5.3008878242184;0.220225645016645;4.15450491162046
"T_368";8.68084882039932;1.08023663393685;12.4439056166763
"T_413";4.64429495961813;0.0961327351998477;2.06991020242504
"T_43";10.9932966328904;0.164776534680785;1.49888191125305
"V_170";5.25423517331259;0.0283528736986479;0.539619426299347
"V_179";6.04630922109892;0.366780942306608;6.0661955731061
"V_22";7.39287437224384;0;0
"V_236";8.67715744903135;0.15095352700499;1.73966564386637
"V_249";3.27903733218435;0;0
"V_270";6.24446517772409;0.145220120412188;2.32558139534884
"V_290";2.67498760471537;0.101787601976309;3.80516163128688
"V_63";9.20258882034424;0.045238934211693;0.491589215761579
"V_71";7.43622835086338;0.0754767635024948;1.01498716743592
"V_81";5.76301610356146;0.041547562843725;0.720934352726331
