"placette";"BMS_F.m3.ha"
"T_118";26.896845252964
"T_19";14.9697149808172
"T_207";30.8425137534043
"T_315";24.5639344992348
"T_327";9.50977507396631
"T_337";49.3480220054468
"T_350";134.935997671144
"T_368";45.2356868383262
"T_413";50.0676677242482
"T_43";40.8663307232606
"V_170";3.85531421917553
"V_179";14.9072149808121
"V_22";20.5616758356028
"V_236";16.1923197205372
"V_249";7.9676493862961
"V_270";8.22467033424113
"V_290";2.57020947945035
"V_63";8.54308017108007
"V_71";18.2751539707664
"V_81";7.9676493862961
