Y;Effect;etat_sanitaire;Groupe.var;pval (originale);pval;Comparaison;Estimate;p-value;Significance
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.lig;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_UC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_LC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_BC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;UC_LC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;UC_BC;;;
ab.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;LC_BC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_UC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_LC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;AC_BC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;UC_LC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;UC_BC;;;
sr.xyl;Stratum effect;deperissant;Trophic Larvae Guilds;;;LC_BC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
ab.colsxrsx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_UC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_LC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;AC_BC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_LC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;UC_BC;;;
sr.colsxsrx;Stratum effect;deperissant;Microhabitat Larvae Guilds;;;LC_BC;;;
