"x"
"1";339
"2";772
"3";1824
"4";694
"5";1388
"6";1535
"7";2055
"8";226
"9";556
"10";513
"11";1054
"12";172
"13";1027
"14";1528
"15";1909
"16";639
"17";299
"18";1143.5
"19";793
"20";589
"21";94
"22";606
"23";874.5
"24";177
"25";464
"26";1549
"27";362
"28";189
"29";711
"30";917
"31";1116
"32";79
"33";374.5
"34";1530
"35";1303
"36";755
"37";1094
"38";802
"39";1134
"40";722
"41";1843
"42";907
"43";1305.5
"44";54
"45";1368.5
"46";2437
"47";2169
"48";482
"49";1412
"50";2247
"51";2022
"52";224
"53";676
"54";1973
"55";2663
"56";293
"57";383
"58";1982
"59";2426.5
"60";261
"61";2098
"62";1986
"63";905
"64";1990
"65";2034
"66";2503
"67";2480
"68";92
"69";500.5
"70";1493
"71";697.5
"72";446
"73";607
"74";2214
"75";2072
"76";198
"77";343
"78";503
"79";1150
"80";830
"81";2015
"82";800
"83";2138.5
"84";1703
"85";2929
"86";1003
"87";77
"88";675
"89";2204
"90";1034
"91";650.5
"92";2158
"93";2031
"94";1441
"95";173
"96";1339.5
"97";2014
"98";1511
"99";33
"100";564
"101";1949
"102";1545
"103";287
"104";1119
"105";1082
"106";546
"107";137
"108";1145.5
"109";1471
"110";1423.5
"111";167
"112";2164.5
"113";1810
"114";2822
"115";1002
"116";1136
"117";2216
"118";1625.5
"119";1105
"120";1009
"121";1794
"122";824
"123";870
"124";2341
"125";2299
"126";569
"127";487
"128";1606
"129";2500
"130";1711.5
"131";561
"132";1247
"133";2699
"134";2328
"135";587
"136";2003
"137";2749.5
"138";1172
"139";520
"140";1102
"141";568
"142";2579
"143";1348
"144";1881
"145";2366
"146";1767
"147";555
"148";1690
"149";869
"150";1130
"151";1496
"152";2060.5
"153";2137
"154";1719
"155";583.5
"156";1165
"157";1915.5
"158";158
"159";1803
"160";2637
"161";643
"162";1737
"163";1631
"164";1414
"165";351
"166";1044
"167";1958.5
"168";1377
"169";964
"170";525
"171";2184
"172";1176
"173";265
"174";991
"175";2073
"176";570.5
"177";237
"178";783
"179";1555
"180";1016
"181";145
"182";476
"183";1470
"184";616
"185";195
"186";135
"187";2062.5
"188";888
"189";913.5
"190";426
"191";2730
"192";2305
"193";425
"194";746
"195";1988
"196";2523.5
"197";724
"198";1649
"199";1402
"200";1288
"201";1974
"202";2288
"203";1644.5
"204";1840
"205";1637.5
"206";1693.5
"207";1599
"208";2033
"209";900
"210";1025
"211";2815
"212";1765
"213";1207
"214";2311
"215";2261
"216";2685
"217";1395.5
"218";320
"219";2958
"220";2208
"221";1107
"222";1926
"223";1304
"224";2294
"225";1743
"226";427
"227";2560
"228";1811
"229";971.5
"230";1066
"231";2131
"232";1844
"233";1014
"234";1207
"235";2675
"236";2968
"237";1577
"238";1854
"239";2800
"240";2715
"241";1404
"242";1839
"243";2884
"244";2375
"245";1676
"246";796
"247";2914
