id.trap	massif	num.releve	num.tree2	num.trap	Parcelle	strate	id.trap.releve	ab.colsx	sr.colsx	ab.colsxrar	sr.colsxrar	ab.colsxcom	sr.colsxcom	ab.cav	sr.cav	ab.fon	sr.fon	ab.fonspe	sr.fonspe	ab.suc	sr.suc	ab.lig	sr.lig	ab.flo	sr.flo	ab.pho	sr.pho	ab.myc	sr.myc	ab.xyl	sr.xyl	ab.sxy	sr.sxy	ab.zoo	sr.zoo	ab.cavspe	sr.cavspe	CWM_diam	CWM_canop	CWM_decay	CWM_size	FD_diam	FD_canop	FD_decay	FD_size	id.trap.releve
Troncais13	Troncais	R5	1	3	19	intra.inf	Troncais13R5	51	22	2	2	46	18	10	5	34	10	6	2	2	2	45	20	6	3	0	0	11	5	23	5	11	7	4	3	0	0	2.258431373	1.560196078	2.525686275	5.435294118	0.559710173	0.439253831	0.756461638	0.76947385	Troncais13R5
Troncais14	Troncais	R2	1	4	19	infra	Troncais14R2	43	23	7	2	22	18	6	4	24	11	2	2	1	1	38	19	15	7	3	2	16	5	4	4	8	7	11	4	1	1	2.102790698	1.647674419	2.884651163	3.272093023	0.448759711	0.556540346	0.615213087	0.23299595	Troncais14R2
Troncais14	Troncais	R3	1	4	19	infra	Troncais14R3	62	16	3	2	46	12	3	3	47	7	1	1	0	0	58	13	3	2	3	2	15	4	34	4	4	2	9	6	2	1	2.098870968	1.635483871	2.328225806	3.224193548	0.620177894	0.548497682	0.523766358	0.346703485	Troncais14R3
Troncais14	Troncais	R4	1	4	19	infra	Troncais14R4	125	20	3	2	111	15	0	0	94	9	4	2	0	0	121	18	3	1	0	0	12	5	96	10	12	4	5	1	0	0	1.982	1.53032	2.1204	2.9184	0.49921478	0.260451873	0.281616704	0.250780193	Troncais14R4
Troncais14	Troncais	R5	1	4	19	infra	Troncais14R5	32	16	0	0	27	12	2	2	22	8	3	2	1	1	29	14	0	0	0	0	8	6	20	7	0	0	4	3	0	0	2.0503125	1.588125	2.25	3.11875	0.468523584	0.42220081	0.474061436	0.253035482	Troncais14R5
Troncais21	Troncais	R1	2	1	43	supra	Troncais21R1	41	20	6	2	31	16	7	4	10	7	2	1	0	0	38	18	23	9	1	1	4	2	13	6	12	8	11	3	0	0	1.97804878	1.530487805	2.780487805	5.217073171	0.400426773	0.583799144	0.935285706	0.489749761	Troncais21R1
Troncais21	Troncais	R2	2	1	43	supra	Troncais21R2	109	37	15	3	86	31	24	7	40	12	11	3	3	2	82	32	47	12	16	2	24	9	27	13	13	6	27	6	3	1	2.202293578	1.451100917	2.620642202	5.830275229	0.734349718	0.359083362	0.936746738	0.625421638	Troncais21R2
Troncais21	Troncais	R3	2	1	43	supra	Troncais21R3	83	24	2	1	76	22	3	3	46	10	12	3	0	0	69	19	5	5	3	3	41	6	23	9	2	2	14	4	1	1	2.223855422	1.404819277	2.289156627	4.210843373	0.650641657	0.393496543	0.725269268	0.457485566	Troncais21R3
Troncais22	Troncais	R1	2	2	43	intra.sup	Troncais22R1	44	13	13	1	28	10	16	4	13	4	1	1	0	0	33	11	33	7	10	1	2	2	8	3	9	5	15	2	0	0	2.214090909	1.477272727	3.145454545	4.625	0.479735	0.252514502	0.738689582	0.313917798	Troncais22R1
Troncais22	Troncais	R3	2	2	43	intra.sup	Troncais22R3	47	25	1	1	38	22	5	5	29	10	6	3	0	0	39	20	8	5	2	2	22	6	9	7	7	4	6	5	1	1	2.111914894	1.469148936	2.549361702	4.280851064	0.654241593	0.375346138	0.605875667	0.42221534	Troncais22R3
Troncais23	Troncais	R1	2	3	43	intra.inf	Troncais23R1	30	18	6	1	23	16	12	7	14	9	1	1	1	1	22	15	16	6	7	2	3	3	5	3	5	5	10	5	0	0	2.420333333	1.553333333	3.108666667	4.07	0.712140422	0.472196008	0.71240857	0.263760926	Troncais23R1
Troncais23	Troncais	R2	2	3	43	intra.inf	Troncais23R2	54	24	1	1	43	19	9	5	19	8	1	1	1	1	53	23	3	3	0	0	15	6	30	10	8	7	1	1	0	0	1.894259259	1.637407407	2.353333333	3.566666667	0.63378438	0.605831502	0.676767765	0.30683626	Troncais23R2
Troncais23	Troncais	R3	2	3	43	intra.inf	Troncais23R3	92	25	4	3	61	20	16	9	42	9	3	2	0	0	85	21	6	5	3	1	36	6	39	7	7	5	9	6	1	1	1.940434783	1.733804348	2.475978261	3.411956522	0.711250775	0.709743503	0.716684824	0.274324549	Troncais23R3
Troncais24	Troncais	R1	2	4	43	infra	Troncais24R1	33	20	0	0	29	18	11	8	18	12	3	2	2	2	25	16	12	8	6	3	9	6	9	3	2	2	8	7	1	1	2.397272727	1.614242424	2.772121212	4.239393939	0.434940151	0.534164011	0.815082688	0.43631403	Troncais24R1
Troncais24	Troncais	R2	2	4	43	infra	Troncais24R2	25	17	0	0	20	14	3	3	16	11	3	2	0	0	21	14	2	2	1	1	10	7	9	4	4	4	1	1	1	1	2.212	1.592	2.3756	3.444	0.433817237	0.436786685	0.765323569	0.376805232	Troncais24R2
Troncais24	Troncais	R3	2	4	43	infra	Troncais24R3	52	25	2	2	36	19	12	8	32	12	2	2	0	0	49	22	2	2	1	1	24	10	17	6	9	7	2	2	1	1	2.273269231	1.699615385	2.599038462	2.946153846	0.655420919	0.603960722	0.766397451	0.250048491	Troncais24R3
Troncais24	Troncais	R4	2	4	43	infra	Troncais24R4	2	2	0	0	2	2	1	1	1	1	0	0	0	0	2	2	0	0	0	0	0	0	1	1	0	0	1	1	0	0	3.045	1.5	3	3.25	0.958368487	3.05311E-16	1.213597276	0.128288388	Troncais24R4
Troncais31	Troncais	R1	3	1	118	supra	Troncais31R1	49	24	3	2	39	20	11	4	26	9	2	2	0	0	43	21	20	10	4	1	18	5	10	8	10	6	7	4	0	0	2.172244898	1.498979592	2.908163265	4.640816327	0.534940226	0.275780936	0.726338728	0.472289346	Troncais31R1
Troncais31	Troncais	R2	3	1	118	supra	Troncais31R2	66	25	7	2	52	21	14	4	25	8	2	1	0	0	58	23	31	9	6	1	17	5	22	9	10	5	11	5	0	0	2.15030303	1.460606061	2.713636364	5.306060606	0.570805038	0.352909157	0.863392552	0.604396557	Troncais31R2
Troncais31	Troncais	R3	3	1	118	supra	Troncais31R3	105	19	1	1	91	14	2	2	56	9	8	1	0	0	97	18	5	3	1	1	52	6	45	7	1	1	7	5	0	0	2.358857143	1.461428571	2.373809524	3.073333333	0.322435278	0.341585332	0.689081084	0.184040214	Troncais31R3
Troncais31	Troncais	R4	3	1	118	supra	Troncais31R4	49	17	3	2	24	12	2	2	14	4	2	1	0	0	45	15	3	2	2	1	13	3	26	7	2	1	5	4	2	1	2.297755102	1.473469388	2.253061224	3.773469388	0.537604777	0.291908477	0.500198194	0.392826417	Troncais31R4
Troncais31	Troncais	R5	3	1	118	supra	Troncais31R5	25	11	0	0	20	8	10	1	17	6	1	1	0	0	24	10	0	0	0	0	15	5	8	5	2	1	0	0	0	0	2.0872	2.024	2.41	3	0.407252024	1.20735894	0.422331852	0.136840947	Troncais31R5
Troncais32	Troncais	R1	3	2	118	intra.sup	Troncais32R1	51	18	11	1	36	15	9	3	17	8	2	2	0	0	44	15	27	7	5	1	9	5	13	5	7	4	17	3	0	0	1.991764706	1.448039216	2.847058824	4.764705882	0.572633169	0.381211436	0.815503775	0.380810836	Troncais32R1
Troncais32	Troncais	R2	3	2	118	intra.sup	Troncais32R2	86	39	7	3	67	33	17	10	28	10	8	3	1	1	77	35	24	14	1	1	21	6	21	11	24	11	18	9	0	0	2.043255814	1.488372093	2.505232558	6.562790698	0.68189947	0.546854554	0.814324429	0.807483702	Troncais32R2
Troncais32	Troncais	R3	3	2	118	intra.sup	Troncais32R3	145	41	20	10	108	27	5	5	53	11	11	4	3	2	133	36	5	4	2	2	47	8	40	13	14	7	43	12	1	1	2.11737931	1.404137931	2.306	5.420689655	0.756433634	0.464758773	0.585539762	0.638921935	Troncais32R3
Troncais32	Troncais	R4	3	2	118	intra.sup	Troncais32R4	143	28	15	5	54	21	3	3	3	2	0	0	1	1	143	28	10	4	0	0	1	1	93	9	22	11	25	5	0	0	2.401048951	1.427972028	2.241888112	5.553146853	0.45855703	0.268701822	0.47456882	0.708260142	Troncais32R4
Troncais32	Troncais	R5	3	2	118	intra.sup	Troncais32R5	44	20	5	4	31	13	20	5	19	5	1	1	1	1	43	19	2	1	0	0	19	5	10	5	9	5	5	4	0	0	2.270681818	1.842045455	2.503181818	5.559090909	0.418797745	1.285448825	0.519314322	0.585850305	Troncais32R5
Troncais33	Troncais	R1	3	3	118	intra.inf	Troncais33R1	49	24	8	3	30	17	11	4	29	12	1	1	0	0	44	22	28	12	4	1	15	6	4	4	11	7	15	6	0	0	2.234693878	1.576530612	3.026530612	4.040816327	0.516140343	0.41276423	0.56899061	0.3350067	Troncais33R1
Troncais33	Troncais	R2	3	3	118	intra.inf	Troncais33R2	34	14	0	0	17	11	11	5	24	6	0	0	0	0	32	12	5	3	2	2	21	3	2	2	7	5	2	2	1	1	2.177647059	1.860294118	2.832058824	4.302941176	0.347866744	0.82799738	0.514645032	0.473675649	Troncais33R2
Troncais33	Troncais	R3	3	3	118	intra.inf	Troncais33R3	31	14	8	3	12	9	1	1	15	6	1	1	0	0	24	12	0	0	6	1	15	6	5	4	1	1	10	3	6	1	2.379354839	1.672580645	2.394193548	3.180645161	0.978452413	0.698087959	0.554819799	0.367234966	Troncais33R3
Troncais33	Troncais	R4	3	3	118	intra.inf	Troncais33R4	64	27	10	4	31	20	7	6	13	6	1	1	0	0	62	25	5	4	0	0	11	4	23	5	22	11	7	6	1	1	2.3584375	1.5171875	2.50453125	5.609375	0.749692278	0.494781346	0.689866053	0.76455202	Troncais33R4
Troncais33	Troncais	R5	3	3	118	intra.inf	Troncais33R5	23	9	0	0	9	7	3	2	20	7	0	0	0	0	23	9	0	0	1	1	16	3	1	1	4	3	2	2	0	0	2.047826087	1.795652174	2.554347826	2.773913043	0.35465357	0.553566764	0.270707899	0.232875355	Troncais33R5
Troncais34	Troncais	R1	3	4	118	infra	Troncais34R1	18	12	1	1	11	8	6	4	11	6	0	0	0	0	17	11	9	7	1	1	8	4	2	2	6	4	1	1	0	0	2.202777778	1.666666667	3.1	3.511111111	0.482671072	0.492991276	0.606798638	0.323941378	Troncais34R1
Troncais34	Troncais	R2	3	4	118	infra	Troncais34R2	34	16	1	1	17	12	10	5	27	9	3	3	0	0	29	12	5	4	2	1	21	7	2	2	8	5	1	1	0	0	2.227058824	1.702941176	2.855294118	3.367647059	0.497906238	0.576143815	0.771033204	0.315497694	Troncais34R2
Troncais34	Troncais	R3	3	4	118	infra	Troncais34R3	34	17	2	2	24	13	5	2	14	5	1	1	0	0	31	14	1	1	2	2	13	4	7	4	9	4	5	5	1	1	2.118235294	1.767647059	2.667647059	4.185294118	0.510116713	0.79554742	0.527221931	0.386995905	Troncais34R3
Troncais34	Troncais	R4	3	4	118	infra	Troncais34R4	26	15	0	0	16	12	3	3	10	3	0	0	0	0	26	15	2	2	0	0	11	4	7	4	6	5	2	2	0	0	2.052692308	1.72	2.611153846	4.196153846	0.551008364	0.681362209	0.610496878	0.581776453	Troncais34R4
Troncais34	Troncais	R5	3	4	118	infra	Troncais34R5	5	5	0	0	3	3	0	0	4	4	0	0	0	0	5	5	0	0	0	0	3	3	1	1	0	0	1	1	0	0	2.358	1.63	2.7	3.76	0.398071997	0.474347242	0.776702257	0.563784702	Troncais34R5
Troncais41	Troncais	R1	4	1	207	supra	Troncais41R1	29	9	6	1	21	6	16	2	6	6	1	1	1	1	28	8	24	4	0	0	3	3	1	1	16	2	8	2	0	0	2.174827586	1.534482759	3.489310345	3.1	0.280406797	0.305035355	0.64651112	0.107349364	Troncais41R1
Troncais41	Troncais	R2	4	1	207	supra	Troncais41R2	84	27	6	3	69	22	21	8	42	8	7	2	1	1	74	24	33	12	3	1	36	4	15	8	18	8	12	6	0	0	2.133571429	1.507142857	2.90202381	4.911904762	0.62585171	0.197150778	0.699631262	0.561676235	Troncais41R2
Troncais41	Troncais	R3	4	1	207	supra	Troncais41R3	92	28	1	1	81	23	8	5	52	12	10	2	0	0	80	24	15	10	3	3	48	8	28	9	8	4	4	3	1	1	2.272608696	1.474456522	2.603369565	3.75	0.505273357	0.40139309	0.793891061	0.356232683	Troncais41R3
Troncais41	Troncais	R4	4	1	207	supra	Troncais41R4	30	17	3	2	19	12	3	3	11	5	1	1	0	0	29	16	6	2	1	1	10	4	10	7	4	4	6	2	0	0	2.241333333	1.496666667	2.586333333	5.06	0.647769652	0.331827946	0.822630171	0.620345627	Troncais41R4
Troncais41	Troncais	R5	4	1	207	supra	Troncais41R5	64	16	2	2	59	12	46	4	48	6	0	0	1	1	64	16	1	1	1	1	44	2	10	6	5	3	3	3	0	0	2.15125	2.2421875	2.514375	4.5890625	0.161149502	1.156065418	0.296240991	0.247005259	Troncais41R5
Troncais42	Troncais	R2	4	2	207	intra.sup	Troncais42R2	43	21	3	3	21	15	9	7	27	8	1	1	0	0	39	18	10	8	3	2	20	4	4	3	10	8	7	5	0	0	2.199302326	1.694186047	2.741627907	5.174418605	0.506673934	0.57290148	0.637319067	0.662779395	Troncais42R2
Troncais42	Troncais	R3	4	2	207	intra.sup	Troncais42R3	55	25	12	5	31	18	1	1	29	13	6	4	0	0	49	21	2	2	0	0	21	9	23	9	10	6	1	1	0	0	1.819818182	1.475818182	2.330363636	5.272727273	0.653413127	0.60925099	0.558736174	0.633765841	Troncais42R3
Troncais42	Troncais	R4	4	2	207	intra.sup	Troncais42R4	28	19	7	5	16	12	1	1	6	5	0	0	0	0	28	19	1	1	0	0	3	2	13	8	10	7	2	2	0	0	1.929642857	1.310714286	2.557142857	6.196428571	0.836516189	0.590834953	0.647664669	0.608933488	Troncais42R4
Troncais42	Troncais	R5	4	2	207	intra.sup	Troncais42R5	27	11	0	0	25	10	6	1	17	7	1	1	1	1	26	10	1	1	0	0	9	3	7	4	11	4	0	0	0	0	2.146296296	1.677777778	2.507407407	5.725925926	0.383420527	1.017852695	0.413854983	0.521929017	Troncais42R5
Troncais43	Troncais	R1	4	3	207	intra.inf	Troncais43R1	17	13	0	0	13	10	2	2	8	6	1	1	0	0	14	10	4	3	2	2	5	4	5	3	3	3	4	3	1	1	2.411176471	1.6	2.705882353	3.305882353	0.63011317	0.427083352	0.734877243	0.263264936	Troncais43R1
