Y;Effect;Groupe.var;pval (originale);pval ;Comparaison;Estimate;p-value;Significance;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_UC;-2.828 ;0.0914 .;N.S;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_LC;-3.229;0.0404 *;N.S;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_BC;-2.574;0.1458  ;N.S;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;UC_LC;-0.401;0.9889  ;N.S;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;UC_BC;0.254      ;0.9971  ;N.S;;
sr.fon;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;LC_BC;0.655      ;0.9541  ;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_UC;0.1295     ;0.7944   ;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_LC;0.4469     ;0.0223 *;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;AC_BC;0.5613     ;0.0020 **;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_LC;0.3174     ;0.1997   ;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;UC_BC;0.4318     ;0.0392 *;N.S;;
ab.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,01;N.S;LC_BC;0.1144;0.9150   ;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_UC;-1.11405;0.1129  ;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_LC;-1.44024;0.0251 *;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;AC_BC;-1.15791;0.1082  ;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;UC_LC;-0.32618;0.9303  ;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;UC_BC;-0.04386;0.9998  ;N.S;;
sr.fonspe;Stratum effect;Microhabitat Larvae Guilds;P < 0,05;N.S;LC_BC;0.28232    ;0.9530  ;N.S;;
